ORIGIN,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
EGE,14705.0,30.508298755186722,932.0,1.933609958506224,2328.0,4.829875518672199,3167.0,6.570539419087137,36.0,0.07468879668049792,8242.0,17.099585062240664
BHM,14661.0,10.310126582278482,463.0,0.32559774964838256,4563.0,3.2088607594936707,2953.0,2.076652601969058,2.0,0.0014064697609001407,6680.0,4.6976090014064695
ALB,14419.0,14.957468879668049,1789.0,1.8558091286307055,3529.0,3.6607883817427385,4255.0,4.41390041493776,0.0,0.0,4846.0,5.026970954356846
PVD,14361.0,10.598523985239853,939.0,0.6929889298892989,2560.0,1.8892988929889298,3830.0,2.8265682656826567,87.0,0.06420664206642067,6945.0,5.125461254612546
CHS,14290.0,8.391074574280681,104.0,0.061068702290076333,3610.0,2.1197886083382267,4724.0,2.773928361714621,4.0,0.002348796241926013,5848.0,3.433940105695831
GSO,14252.0,11.558799675587997,534.0,0.43309002433090027,3096.0,2.510948905109489,4981.0,4.039740470397405,15.0,0.012165450121654502,5626.0,4.562854825628548
LEX,14229.0,18.289203084832906,1220.0,1.5681233933161953,4619.0,5.9370179948586115,4218.0,5.42159383033419,0.0,0.0,4172.0,5.362467866323907
ONT,13484.0,8.113116726835138,100.0,0.06016847172081829,3481.0,2.094464500601685,4124.0,2.4813477737665464,56.0,0.03369434416365824,5723.0,3.4434416365824307
CID,12862.0,17.814404432132964,1277.0,1.7686980609418284,4214.0,5.836565096952908,2844.0,3.9390581717451525,0.0,0.0,4527.0,6.270083102493075
BOI,12848.0,8.152284263959391,77.0,0.04885786802030457,3576.0,2.269035532994924,4353.0,2.7620558375634516,0.0,0.0,4842.0,3.0723350253807107
FAR,12841.0,29.79350348027842,2474.0,5.740139211136891,5911.0,13.71461716937355,1547.0,3.589327146171694,13.0,0.030162412993039442,2896.0,6.719257540603248
ABQ,12257.0,7.080878105141537,580.0,0.3350664355863663,3641.0,2.103408434430965,4242.0,2.4506065857885617,14.0,0.008087810514153668,3780.0,2.1837088388214903
FWA,12101.0,20.82788296041308,670.0,1.153184165232358,4486.0,7.721170395869191,2920.0,5.025817555938038,0.0,0.0,4025.0,6.927710843373494
SBN,11652.0,20.478031634446396,1017.0,1.7873462214411249,4962.0,8.720562390158172,2536.0,4.456942003514938,0.0,0.0,3137.0,5.513181019332162
MFR,11526.0,33.02578796561605,822.0,2.355300859598854,3302.0,9.461318051575931,2444.0,7.002865329512894,32.0,0.09169054441260745,4926.0,14.114613180515759
RDM,11102.0,41.11851851851852,2392.0,8.85925925925926,1590.0,5.888888888888889,3717.0,13.766666666666667,0.0,0.0,3403.0,12.603703703703705
FSD,11013.0,18.761499148211243,784.0,1.3356047700170357,3215.0,5.477001703577513,2089.0,3.5587734241908007,24.0,0.04088586030664395,4901.0,8.34923339011925
DAY,10955.0,10.325164938737041,238.0,0.22431668237511782,3091.0,2.9132893496701224,4074.0,3.8397737983034874,0.0,0.0,3552.0,3.347785108388313
GSP,10806.0,9.050251256281408,559.0,0.46817420435510887,3668.0,3.0720268006700167,2717.0,2.275544388609715,0.0,0.0,3862.0,3.234505862646566
BZN,10790.0,18.571428571428573,375.0,0.6454388984509466,1269.0,2.1841652323580036,5722.0,9.84853700516351,0.0,0.0,3424.0,5.89328743545611
LGB,10728.0,8.86611570247934,191.0,0.1578512396694215,2784.0,2.3008264462809915,3180.0,2.628099173553719,0.0,0.0,4573.0,3.7793388429752066
COS,10665.0,14.957924263674615,251.0,0.3520336605890603,5363.0,7.521739130434782,2778.0,3.8962131837307155,0.0,0.0,2273.0,3.1879382889200563
MLI,10546.0,24.75586854460094,2224.0,5.220657276995305,2811.0,6.598591549295775,2031.0,4.767605633802817,0.0,0.0,3480.0,8.169014084507042
SRQ,10508.0,15.521418020679468,40.0,0.059084194977843424,1424.0,2.103397341211226,4947.0,7.307237813884786,0.0,0.0,4097.0,6.051698670605613
ELP,10409.0,7.797003745318352,46.0,0.03445692883895131,4740.0,3.550561797752809,1359.0,1.0179775280898877,3.0,0.0022471910112359553,4261.0,3.1917602996254684
AVL,10187.0,16.45718901453958,173.0,0.27948303715670436,4061.0,6.560581583198708,1057.0,1.7075928917609047,0.0,0.0,4896.0,7.909531502423263
