DEST,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
LAN,4226.0,16.572549019607845,393.0,1.5411764705882354,2349.0,9.211764705882352,644.0,2.5254901960784313,0.0,0.0,840.0,3.2941176470588234
MYR,4205.0,7.364273204903678,78.0,0.13660245183887915,1641.0,2.873905429071804,1713.0,3.0,48.0,0.0840630472854641,725.0,1.2697022767075306
ACV,4187.0,32.207692307692305,41.0,0.3153846153846154,2373.0,18.253846153846155,273.0,2.1,0.0,0.0,1500.0,11.538461538461538
LBB,4109.0,7.581180811808118,157.0,0.2896678966789668,2027.0,3.7398523985239853,487.0,0.8985239852398524,0.0,0.0,1438.0,2.6531365313653135
LFT,4017.0,9.58711217183771,419.0,1.0,1602.0,3.8233890214797137,452.0,1.0787589498806682,0.0,0.0,1544.0,3.684964200477327
AMA,4016.0,9.494089834515366,49.0,0.11583924349881797,1427.0,3.3735224586288415,645.0,1.524822695035461,0.0,0.0,1895.0,4.479905437352246
ABE,4001.0,11.76764705882353,362.0,1.0647058823529412,1226.0,3.6058823529411765,517.0,1.5205882352941176,0.0,0.0,1896.0,5.576470588235294
ILM,3820.0,6.958105646630237,41.0,0.07468123861566485,1061.0,1.9326047358834244,588.0,1.0710382513661203,0.0,0.0,2130.0,3.879781420765027
FNT,3767.0,13.45357142857143,35.0,0.125,1092.0,3.9,832.0,2.9714285714285715,0.0,0.0,1808.0,6.457142857142857
LIH,3750.0,3.301056338028169,208.0,0.18309859154929578,1820.0,1.602112676056338,710.0,0.625,0.0,0.0,1012.0,0.8908450704225352
