TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
N438YX,14774.0,9.327020202020202,0.0,327.0,846.0,0.5340909090909091,0.0,195.0,2853.0,1.8011363636363635,0.0,200.0,5006.0,3.1603535353535355,0.0,269.0,15.0,0.00946969696969697,0.0,15.0,6054.0,3.821969696969697,0.0,301.0
N851VA,14772.0,11.75178997613365,0.0,358.0,396.0,0.315035799522673,0.0,165.0,3226.0,2.56642800318218,0.0,333.0,5035.0,4.005568814638027,0.0,224.0,18.0,0.014319809069212411,0.0,18.0,6097.0,4.850437549721559,0.0,254.0
N139AN,14766.0,11.419953596287703,0.0,823.0,367.0,0.2838360402165507,0.0,82.0,5680.0,4.392884764114463,0.0,823.0,3548.0,2.7440061871616397,0.0,156.0,0.0,0.0,0.0,0.0,5171.0,3.99922660479505,0.0,314.0
N8631A,14765.0,8.986609860012173,0.0,283.0,773.0,0.4704808277541083,0.0,202.0,5904.0,3.5934266585514303,0.0,181.0,2384.0,1.451004260499087,0.0,129.0,18.0,0.010955569080949483,0.0,18.0,5686.0,3.4607425441265978,0.0,245.0
N659AW,14763.0,10.111643835616439,0.0,625.0,853.0,0.5842465753424657,0.0,378.0,4126.0,2.826027397260274,0.0,299.0,3081.0,2.1102739726027395,0.0,182.0,21.0,0.014383561643835616,0.0,13.0,6682.0,4.576712328767123,0.0,620.0
N78506,14762.0,15.171634121274408,0.0,612.0,696.0,0.7153134635149023,0.0,138.0,2366.0,2.431654676258993,0.0,612.0,5553.0,5.707091469681398,0.0,225.0,0.0,0.0,0.0,0.0,6147.0,6.3175745118191164,0.0,206.0
N117UW,14759.0,10.474804826117815,0.0,911.0,454.0,0.3222143364088006,0.0,128.0,4967.0,3.525195173882186,0.0,724.0,2798.0,1.985805535841022,0.0,290.0,40.0,0.028388928317955996,0.0,40.0,6500.0,4.613200851667849,0.0,381.0
N961AT,14757.0,8.346719457013574,0.0,589.0,963.0,0.544683257918552,0.0,498.0,4909.0,2.7765837104072397,0.0,408.0,4607.0,2.605769230769231,0.0,589.0,0.0,0.0,0.0,0.0,4278.0,2.419683257918552,0.0,235.0
N602NN,14754.0,11.490654205607477,0.0,367.0,782.0,0.6090342679127726,0.0,229.0,3373.0,2.6269470404984423,0.0,367.0,2308.0,1.7975077881619939,0.0,133.0,59.0,0.045950155763239874,0.0,40.0,8232.0,6.411214953271028,0.0,333.0
N119US,14742.0,10.705882352941176,0.0,983.0,514.0,0.3732752360203341,0.0,113.0,6181.0,4.488743645606391,0.0,983.0,2516.0,1.8271604938271604,0.0,343.0,5.0,0.0036310820624546117,0.0,3.0,5526.0,4.0130718954248366,0.0,432.0
N887NN,14733.0,11.58254716981132,0.0,467.0,386.0,0.30345911949685533,0.0,59.0,4915.0,3.863993710691824,0.0,467.0,3948.0,3.1037735849056602,0.0,346.0,14.0,0.0110062893081761,0.0,10.0,5470.0,4.300314465408805,0.0,210.0
N12109,14733.0,25.984126984126984,0.0,750.0,550.0,0.9700176366843033,0.0,235.0,4457.0,7.860670194003528,0.0,750.0,3950.0,6.966490299823633,0.0,339.0,0.0,0.0,0.0,0.0,5776.0,10.18694885361552,0.0,431.0
N109UW,14731.0,10.590222861250899,0.0,388.0,346.0,0.24874191229331416,0.0,78.0,4625.0,3.324946081955428,0.0,357.0,2975.0,2.138749101365924,0.0,201.0,0.0,0.0,0.0,0.0,6785.0,4.877785765636233,0.0,388.0
N947AT,14726.0,9.26746381371932,0.0,719.0,1121.0,0.7054751415984896,0.0,719.0,5716.0,3.5972309628697294,0.0,681.0,3728.0,2.3461296412838264,0.0,378.0,0.0,0.0,0.0,0.0,4161.0,2.618628067967275,0.0,190.0
N614AS,14722.0,7.007139457401237,0.0,362.0,942.0,0.44835792479771536,0.0,362.0,4339.0,2.065207044264636,0.0,286.0,2086.0,0.9928605425987624,0.0,60.0,68.0,0.03236554021894336,0.0,58.0,7287.0,3.4683484055211804,0.0,344.0
N587UW,14710.0,11.169324221716021,0.0,430.0,653.0,0.49582384206529995,0.0,200.0,3712.0,2.818526955201215,0.0,192.0,3198.0,2.428246013667426,0.0,173.0,87.0,0.06605922551252848,0.0,76.0,7060.0,5.360668185269552,0.0,430.0
N87531,14705.0,13.859566446748351,0.0,528.0,602.0,0.5673892554194157,0.0,269.0,3487.0,3.286522148916117,0.0,492.0,5432.0,5.119698397737983,0.0,428.0,0.0,0.0,0.0,0.0,5184.0,4.8859566446748355,0.0,478.0
N323DN,14704.0,10.085048010973937,0.0,858.0,460.0,0.31550068587105623,0.0,92.0,5100.0,3.4979423868312756,0.0,858.0,4116.0,2.8230452674897117,0.0,328.0,0.0,0.0,0.0,0.0,5028.0,3.448559670781893,0.0,361.0
N974AN,14703.0,14.192084942084943,0.0,852.0,818.0,0.7895752895752896,0.0,120.0,5325.0,5.13996138996139,0.0,837.0,3684.0,3.555984555984556,0.0,217.0,0.0,0.0,0.0,0.0,4876.0,4.706563706563706,0.0,231.0
N903DE,14699.0,7.569001029866118,0.0,889.0,804.0,0.4140061791967044,0.0,239.0,6024.0,3.101956745623069,0.0,886.0,2866.0,1.4757981462409886,0.0,233.0,44.0,0.02265705458290422,0.0,44.0,4961.0,2.554582904222451,0.0,404.0
N8600F,14692.0,9.527885862516213,0.0,354.0,381.0,0.24708171206225682,0.0,86.0,5428.0,3.5201037613488975,0.0,354.0,2460.0,1.595330739299611,0.0,231.0,60.0,0.038910505836575876,0.0,43.0,6363.0,4.126459143968872,0.0,272.0
N75432,14691.0,14.417075564278704,0.0,284.0,1002.0,0.9833169774288518,0.0,266.0,2256.0,2.213935230618253,0.0,224.0,5118.0,5.022571148184495,0.0,252.0,0.0,0.0,0.0,0.0,6315.0,6.197252208047105,0.0,259.0
N509NK,14689.0,11.7512,0.0,319.0,535.0,0.428,0.0,210.0,4440.0,3.552,0.0,319.0,5956.0,4.7648,0.0,251.0,61.0,0.0488,0.0,30.0,3697.0,2.9576,0.0,209.0
N12116,14689.0,22.289833080424888,0.0,1173.0,471.0,0.7147192716236722,0.0,133.0,3081.0,4.675265553869499,0.0,554.0,3883.0,5.892261001517451,0.0,287.0,0.0,0.0,0.0,0.0,7254.0,11.007587253414265,0.0,1133.0
N8551Q,14688.0,9.302089930335656,0.0,316.0,502.0,0.31792273590880304,0.0,116.0,5538.0,3.507283090563648,0.0,316.0,2717.0,1.720709309689677,0.0,210.0,0.0,0.0,0.0,0.0,5931.0,3.7561747941735275,0.0,285.0
N412YX,14683.0,9.013505217925108,0.0,362.0,516.0,0.31675874769797424,0.0,134.0,2384.0,1.463474524248005,0.0,236.0,4282.0,2.628606507059546,0.0,362.0,32.0,0.019643953345610803,0.0,32.0,7469.0,4.5850214855739715,0.0,337.0
N27421,14680.0,12.440677966101696,0.0,1074.0,1584.0,1.3423728813559321,0.0,639.0,1866.0,1.5813559322033899,0.0,241.0,5390.0,4.567796610169491,0.0,704.0,0.0,0.0,0.0,0.0,5840.0,4.9491525423728815,0.0,435.0
N700UW,14678.0,10.214335421016006,0.0,373.0,1208.0,0.8406402226861517,0.0,222.0,3929.0,2.734168406402227,0.0,366.0,2555.0,1.778009742519137,0.0,93.0,0.0,0.0,0.0,0.0,6986.0,4.86151704940849,0.0,373.0
N8649A,14677.0,9.076685219542362,0.0,380.0,1083.0,0.6697588126159555,0.0,277.0,5327.0,3.294372294372294,0.0,379.0,2632.0,1.6277056277056277,0.0,142.0,108.0,0.06679035250463822,0.0,37.0,5527.0,3.418058132343847,0.0,280.0
N8501V,14662.0,8.827212522576762,0.0,329.0,127.0,0.07645996387718242,0.0,76.0,4907.0,2.9542444310656233,0.0,305.0,3000.0,1.8061408789885611,0.0,160.0,129.0,0.07766405779650813,0.0,39.0,6499.0,3.912703190848886,0.0,232.0
N416YX,14661.0,8.5536756126021,0.0,611.0,551.0,0.32147024504084015,0.0,148.0,3871.0,2.2584597432905484,0.0,571.0,4998.0,2.9159859976662776,0.0,482.0,36.0,0.021003500583430573,0.0,20.0,5205.0,3.0367561260210034,0.0,197.0
N336NW,14660.0,11.089258698940998,0.0,1180.0,758.0,0.573373676248109,0.0,301.0,5694.0,4.3071104387291985,0.0,1180.0,4284.0,3.2405446293494706,0.0,423.0,0.0,0.0,0.0,0.0,3924.0,2.968229954614221,0.0,241.0
N8680C,14657.0,9.12640099626401,0.0,315.0,407.0,0.2534246575342466,0.0,166.0,6148.0,3.828144458281445,0.0,304.0,2441.0,1.5199252801992529,0.0,176.0,123.0,0.07658779576587796,0.0,66.0,5538.0,3.448318804483188,0.0,302.0
N8627B,14654.0,8.875832828588734,0.0,333.0,221.0,0.13385826771653545,0.0,74.0,5515.0,3.3403997577225923,0.0,330.0,2772.0,1.6789824348879467,0.0,157.0,0.0,0.0,0.0,0.0,6146.0,3.7225923682616595,0.0,177.0
