ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Montana,19731.0,12.837345478204295,2120.0,1.3793103448275863,4417.0,2.873780091086532,7341.0,4.776187378009109,0.0,0.0,5853.0,3.808067664281067
South Dakota,19692.0,21.521311475409835,2761.0,3.017486338797814,4119.0,4.501639344262295,2772.0,3.0295081967213116,24.0,0.02622950819672131,10016.0,10.946448087431694
Alaska,19394.0,6.682977257064094,1488.0,0.512749827705031,6376.0,2.19710544452102,2718.0,0.9365954514128187,38.0,0.013094417643004824,8774.0,3.023432115782219
Idaho,18739.0,8.568358481938729,194.0,0.08870598994055784,5005.0,2.2885230909922267,6758.0,3.090077732053041,0.0,0.0,6782.0,3.1010516689529037
New Mexico,17923.0,8.908051689860836,589.0,0.2927435387673956,7001.0,3.4796222664015906,5144.0,2.5566600397614314,14.0,0.006958250497017893,5175.0,2.5720675944333995
Mississippi,16053.0,12.770883054892602,495.0,0.3937947494033413,6531.0,5.195704057279237,2075.0,1.650755767700875,0.0,0.0,6952.0,5.530628480509149
Rhode Island,14361.0,10.598523985239853,939.0,0.6929889298892989,2560.0,1.8892988929889298,3830.0,2.8265682656826567,87.0,0.06420664206642067,6945.0,5.125461254612546
Maine,12953.0,13.973031283710895,494.0,0.5329018338727076,2564.0,2.7659115426105716,4778.0,5.154261057173678,0.0,0.0,5117.0,5.519956850053937
West Virginia,9282.0,19.459119496855347,1603.0,3.360587002096436,2496.0,5.232704402515723,1534.0,3.2159329140461215,0.0,0.0,3649.0,7.649895178197065
U.S. Virgin Islands,5403.0,12.363844393592677,190.0,0.43478260869565216,1083.0,2.4782608695652173,653.0,1.494279176201373,0.0,0.0,3477.0,7.956521739130435
New Hampshire,4744.0,7.298461538461538,20.0,0.03076923076923077,1141.0,1.7553846153846153,1553.0,2.3892307692307693,0.0,0.0,2030.0,3.123076923076923
U.S. Pacific Trust Territories and Possessions,690.0,5.564516129032258,13.0,0.10483870967741936,393.0,3.1693548387096775,90.0,0.7258064516129032,0.0,0.0,194.0,1.564516129032258
