ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Utah,1118074.0,9.272620212642439,92460.0,0.7668065484582594,430319.0,3.568801937335169,248148.0,2.0579873608784354,424.0,0.00351639602580902,346723.0,2.875507969944766
Louisiana,1099953.0,12.735359499826329,58503.0,0.6773532476554359,278084.0,3.219682760217668,289295.0,3.3494847748060668,2738.0,0.03170082204469144,471333.0,5.457137895102466
Indiana,866842.0,12.893486635629397,39011.0,0.5802531570257768,267470.0,3.978373071945977,252939.0,3.762237658223141,877.0,0.013044577650191132,306545.0,4.55957817078431
South Carolina,825420.0,13.058170255177105,38097.0,0.602695733337552,216110.0,3.4188669693565994,236803.0,3.7462308775371373,380.0,0.006011611902991568,334030.0,5.2843650630428245
Wisconsin,812095.0,13.359462393893532,69154.0,1.1376258472066856,214439.0,3.5276534842403104,211249.0,3.475176021583207,440.0,0.007238270711324603,316813.0,5.211768770152004
Oregon,740753.0,9.73458177278402,23610.0,0.31027005716538536,216533.0,2.8455614692161113,214873.0,2.82374663249885,797.0,0.010473749917865826,284940.0,3.7445298639858073
Hawaii,723973.0,6.288581976112921,16504.0,0.143357220412595,359004.0,3.1183843648208467,61237.0,0.5319174809989142,9284.0,0.080642779587405,277944.0,2.4142801302931596
Oklahoma,537641.0,12.38090961427749,38886.0,0.8954749568221071,169749.0,3.9090155440414507,115859.0,2.6680253310305124,688.0,0.01584340817501439,212459.0,4.8925503742084056
Alabama,530525.0,13.306704457096993,34299.0,0.8602924577992926,132204.0,3.3159597682409894,116697.0,2.9270109608969377,502.0,0.012591236298878828,246823.0,6.190850033860895
Puerto Rico,479290.0,15.998197536633398,3281.0,0.10951633899662873,157619.0,5.261156914449748,58864.0,1.9648185854000468,723.0,0.024132981741713674,258803.0,8.638572716045262
Arkansas,440952.0,13.863799283154123,34594.0,1.0876564170282337,109382.0,3.439036659749733,128430.0,4.037917374080362,150.0,0.0047160913035276366,168396.0,5.294472740992266
Iowa,418744.0,14.179330895300014,36236.0,1.2270079913314371,112972.0,3.82540972504402,110803.0,3.7519639712853854,220.0,0.007449546254909928,158513.0,5.367499661384261
Nebraska,403743.0,12.92060291858679,28369.0,0.9078661034306196,117929.0,3.7739695340501793,108860.0,3.4837429595494114,1144.0,0.036610343061955965,147441.0,4.718413978494624
Connecticut,351209.0,11.792264043246147,17527.0,0.5884900782325487,98936.0,3.3218950407950842,88072.0,2.957123191082161,216.0,0.007252459456737065,146458.0,4.917503273679616
New Mexico,314470.0,11.368303087267732,19025.0,0.6877666112356301,101932.0,3.6849107078302366,65424.0,2.3651218277781796,1948.0,0.0704215168823657,126141.0,4.560082423541321
North Dakota,306765.0,17.896563794411062,47104.0,2.748031036695642,107359.0,6.263286856076075,48486.0,2.8286564377807597,1277.0,0.07449973747155941,102539.0,5.982089726387025
Kansas,275691.0,17.04110520459884,17745.0,1.0968599332426752,93222.0,5.762269749041908,57494.0,3.5538385461738162,41.0,0.0025343058474471504,107189.0,6.625602670292991
Montana,266943.0,12.397501393275125,18946.0,0.8798996841909715,77607.0,3.604263421883708,73080.0,3.3940182054616383,32.0,0.001486160133754412,97278.0,4.517833921605053
South Dakota,260219.0,18.443475795591468,35170.0,2.492735133602665,72378.0,5.1299170742079525,53515.0,3.7929690268622864,234.0,0.016585158409525836,98922.0,7.011269402509037
Idaho,251180.0,9.632612363859488,9347.0,0.35845221659763765,86150.0,3.303804264457739,68979.0,2.6453060285319836,173.0,0.0066344531369842,86531.0,3.318415401135143
Maine,250170.0,16.762932189761457,11779.0,0.7892656124363442,50142.0,3.359823103725543,93120.0,6.239614044492093,115.0,0.0077057089252211206,95014.0,6.366523720182257
Alaska,244457.0,6.14198135725233,8378.0,0.21049722368784704,78601.0,1.9748498781437653,39376.0,0.9893218763347654,3195.0,0.08027436496570438,114907.0,2.887038014120248
Mississippi,243506.0,15.571428571428571,20289.0,1.2974165494308736,73515.0,4.701048727458755,42035.0,2.688003581020591,218.0,0.013940401585880547,107449.0,6.871019311932472
Rhode Island,230163.0,12.674871964315216,6897.0,0.3798116636378655,63227.0,3.4818547276832423,57736.0,3.179470235145107,477.0,0.02626796629770362,101826.0,5.607467371551297
Vermont,191817.0,19.904223306008095,11103.0,1.1521220296772854,43736.0,4.5383418076164785,70660.0,7.332157310366297,18.0,0.0018678011829407492,66300.0,6.879734357165093
Wyoming,161822.0,18.519340810254064,9351.0,1.0701533531700618,51990.0,5.949874113069352,41011.0,4.693408102540627,107.0,0.012245365072098878,59363.0,6.7936598764019225
West Virginia,134956.0,20.049918288515823,9579.0,1.4231169217055415,34810.0,5.171594116773139,22968.0,3.4122715792601395,46.0,0.006834051403951865,67553.0,10.03610161937305
New Hampshire,88258.0,10.302089412863312,2143.0,0.2501459087195051,26045.0,3.0401540796077975,19793.0,2.3103770281312013,115.0,0.013423602194467142,40162.0,4.687988794210342
U.S. Virgin Islands,50547.0,10.87734021949645,1089.0,0.2343447385409942,10130.0,2.1799010114052075,7431.0,1.5990961910910264,94.0,0.02022810415321713,31803.0,6.8437701743060035
U.S. Pacific Trust Territories and Possessions,9385.0,6.55377094972067,1290.0,0.9008379888268156,4346.0,3.0349162011173183,878.0,0.6131284916201117,142.0,0.09916201117318436,2729.0,1.9057262569832403
