DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Montgomery, AL",47078.0,12.651975275463585,7075.0,1.901370599301263,16711.0,4.490997043805429,4596.0,1.2351518409029831,34.0,0.009137328675087342,18662.0,5.015318462778823
"Evansville, IN",47006.0,11.658234126984127,5671.0,1.4064980158730158,16062.0,3.9836309523809526,5979.0,1.4828869047619047,0.0,0.0,19294.0,4.785218253968254
"Harlingen/San Benito, TX",46041.0,10.26326348640214,3749.0,0.835711101203745,19213.0,4.282880071333036,5952.0,1.3267944716897013,75.0,0.01671868033883192,17052.0,3.801159161836826
"Aguadilla, PR",45532.0,19.75357917570499,1050.0,0.455531453362256,15607.0,6.770932754880694,7637.0,3.313232104121475,143.0,0.062039045553145336,21095.0,9.15184381778742
"Rochester, MN",45410.0,13.124277456647398,6541.0,1.8904624277456648,15030.0,4.34393063583815,8384.0,2.423121387283237,36.0,0.010404624277456647,15419.0,4.45635838150289
"Arcata/Eureka, CA",44551.0,22.10967741935484,5420.0,2.6898263027295286,18034.0,8.949875930521092,2809.0,1.394044665012407,0.0,0.0,18288.0,9.075930521091811
"Hilton Head, SC",44461.0,19.910882221227048,8198.0,3.671294223018361,13611.0,6.095387371249441,4427.0,1.9825347066726378,64.0,0.028660994178235557,18161.0,8.133004926108374
"Bloomington/Normal, IL",42864.0,13.921403052939265,3266.0,1.060734004546931,14190.0,4.608639168561221,5079.0,1.6495615459564794,0.0,0.0,20329.0,6.602468333874635
"Scranton/Wilkes-Barre, PA",41899.0,11.700363027087405,4699.0,1.3122032951689473,13801.0,3.853951410220609,5835.0,1.6294331192404357,116.0,0.032393186260821,17448.0,4.872382016196593
"Pasco/Kennewick/Richland, WA",41543.0,13.852284094698232,4429.0,1.4768256085361788,17915.0,5.9736578859619875,3365.0,1.1220406802267422,17.0,0.0056685561853951315,15817.0,5.274091363787929
"Champaign/Urbana, IL",41433.0,14.272476748191526,4551.0,1.5676885980020667,10751.0,3.7034102652428524,7454.0,2.567688598002067,39.0,0.013434378229417844,18638.0,6.420254908715123
"Key West, FL",41419.0,7.2907938743179015,5328.0,0.9378630522795283,12655.0,2.22760077451153,12314.0,2.1675761309628587,15.0,0.002640380214750924,11107.0,1.9551135363492342
"Charlotte Amalie, VI",40952.0,10.911803890221156,797.0,0.21236344257926992,17271.0,4.601918465227818,7195.0,1.917132960298428,10.0,0.002664535038635758,15679.0,4.177724487077005
"Fayetteville, NC",40919.0,11.053214478660184,4980.0,1.3452188006482981,11932.0,3.2231226364127497,4375.0,1.1817936250675312,133.0,0.035926526202052944,19499.0,5.267152890329552
"Saginaw/Bay City/Midland, MI",39765.0,15.490845344760421,6976.0,2.7175691468640437,16941.0,6.599532528243086,3053.0,1.189326061550448,0.0,0.0,12795.0,4.984417608102844
"Flint, MI",39500.0,11.32454128440367,1879.0,0.538704128440367,15961.0,4.575974770642202,6005.0,1.7216169724770642,29.0,0.008314220183486239,15626.0,4.47993119266055
"Atlantic City, NJ",39149.0,12.575971731448764,1635.0,0.5252168326373273,5875.0,1.8872470285897849,16008.0,5.142306456794089,146.0,0.04690009637006103,15485.0,4.974301317057501
"Missoula, MT",39101.0,11.114553723706651,6673.0,1.89681637293917,14539.0,4.132745878339966,5513.0,1.5670835702103467,0.0,0.0,12376.0,3.5179079022171686
"Marquette, MI",38893.0,27.544617563739376,15812.0,11.19830028328612,7899.0,5.5941926345609065,2338.0,1.6558073654390935,22.0,0.015580736543909348,12822.0,9.080736543909348
"Bakersfield, CA",38847.0,15.72753036437247,704.0,0.28502024291497974,17887.0,7.2417004048583,3359.0,1.359919028340081,185.0,0.07489878542510121,16712.0,6.765991902834008
"Columbia, MO",38277.0,16.150632911392407,2326.0,0.9814345991561182,14095.0,5.947257383966245,6077.0,2.5641350210970466,6.0,0.002531645569620253,15773.0,6.655274261603376
"Monroe, LA",35865.0,12.20313031643416,3376.0,1.1486900306226608,12980.0,4.416468186457979,5091.0,1.732221844164682,21.0,0.007145287512759442,14397.0,4.89860496767608
"Santa Rosa, CA",35843.0,13.124496521420726,1255.0,0.4595386305382644,20152.0,7.378982057854266,5033.0,1.842914683266203,0.0,0.0,9403.0,3.443061149761992
"Alexandria, LA",35116.0,10.732273838630807,2939.0,0.8982273838630807,12753.0,3.897616136919315,6511.0,1.989914425427873,0.0,0.0,12913.0,3.9465158924205377
"Killeen, TX",34743.0,10.230565371024735,2780.0,0.8186101295641932,12269.0,3.6127797408716136,7323.0,2.1563604240282683,0.0,0.0,12371.0,3.6428150765606597
"Grand Junction, CO",34088.0,8.41056007895386,3211.0,0.7922526523562793,13519.0,3.335553910683444,5639.0,1.391315075252899,7.0,0.0017271157167530224,11712.0,2.8897113249444857
"Mosinee, WI",33868.0,12.996162701458173,8587.0,3.295088257866462,9010.0,3.457405986185725,5010.0,1.9224865694551037,18.0,0.006907137375287797,11243.0,4.314274750575595
"Newburgh/Poughkeepsie, NY",32903.0,18.769537934968625,3164.0,1.804905875641757,17686.0,10.088990302338848,2847.0,1.6240730176839704,92.0,0.052481460353679406,9114.0,5.199087278950371
"Jacksonville/Camp Lejeune, NC",32371.0,11.283025444405716,2826.0,0.9850121993726036,9775.0,3.4071104914604393,4154.0,1.4478912513070756,37.0,0.012896479609620077,15579.0,5.430115022655977
