DEST_AIRPORT_SEQ_ID,ORIGIN_AIRPORT_SEQ_ID,ROUTE_PATH,AIR_TIME_AVG,DISTANCE,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION
1069302,1535602,1535602->1069302,112.77777777777777,706.0,40.27666667,-74.81333333,-500,36.12444444,-86.67805556,-600
1039707,1535602,1535602->1039707,107.13333333333334,701.0,40.27666667,-74.81333333,-500,33.63666667,-84.42777778,-500
1476107,1532305,1532305->1476107,75.83333333333333,535.0,36.47527778,-82.4075,-500,28.77722222,-81.235,-500
1476106,1532305,1532305->1476106,76.16666666666667,535.0,36.47527778,-82.4075,-500,28.77694444,-81.235,-500
1411206,1532305,1532305->1411206,79.66666666666667,590.0,36.47527778,-82.4075,-500,27.90861111,-82.68638889,-500
1129806,1532305,1532305->1129806,131.20833333333334,868.0,36.47527778,-82.4075,-500,32.89722222,-97.03777778,-600
1105703,1532305,1532305->1105703,30.47826086956522,119.0,36.47527778,-82.4075,-500,35.21361111,-80.94916667,-500
1039707,1532305,1532305->1039707,43.65876777251185,227.0,36.47527778,-82.4075,-500,33.63666667,-84.42777778,-500
1535602,1530402,1530402->1535602,126.84,955.0,27.97555556,-82.53333333,-500,40.27666667,-74.81333333,-500
1509602,1530402,1530402->1509602,139.66666666666666,1104.0,27.97555556,-82.53333333,-500,43.11111111,-76.10638889,-500
1501606,1530402,1530402->1501606,122.71951219512195,869.0,27.97555556,-82.53333333,-500,38.74861111,-90.37,-600
1486903,1530402,1530402->1486903,256.19354838709677,1888.0,27.97555556,-82.53333333,-500,40.78833333,-111.97777778,-700
1484306,1530402,1530402->1484306,150.4718309859155,1237.0,27.97555556,-82.53333333,-500,18.43944444,-66.00222222,-400
1477104,1530402,1530402->1477104,315.0408163265306,2393.0,27.97555556,-82.53333333,-500,37.61888889,-122.37555556,-800
1474703,1530402,1530402->1474703,344.55263157894734,2520.0,27.97555556,-82.53333333,-500,47.45,-122.31166667,-800
1473004,1530402,1530402->1473004,102.84615384615384,727.0,27.97555556,-82.53333333,-500,38.17416667,-85.73638889,-500
1473003,1530402,1530402->1473003,105.0,727.0,27.97555556,-82.53333333,-500,38.17416667,-85.73638889,-500
1468305,1530402,1530402->1468305,141.8918918918919,972.0,27.97555556,-82.53333333,-500,29.53388889,-98.46916667,-600
1467903,1530402,1530402->1467903,287.25,2087.0,27.97555556,-82.53333333,-500,32.73361111,-117.18972222,-800
1457606,1530402,1530402->1457606,138.72727272727272,1079.0,27.97555556,-82.53333333,-500,43.11916667,-77.67194444,-500
1452401,1530402,1530402->1452401,99.4,723.0,27.97555556,-82.53333333,-500,37.50527778,-77.31972222,-500
1449202,1530402,1530402->1449202,84.31932773109244,587.0,27.97555556,-82.53333333,-500,35.87777778,-78.7875,-500
