ROUTE_BETWEEN_STATES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Montana->Texas,664.0,6.036363636363636,4.0,0.03636363636363636,54.0,0.4909090909090909,258.0,2.3454545454545452,0.0,0.0,348.0,3.1636363636363636
Hawaii->Colorado,663.0,5.2204724409448815,0.0,0.0,215.0,1.6929133858267718,126.0,0.9921259842519685,0.0,0.0,322.0,2.5354330708661417
Virginia->Mississippi,659.0,21.258064516129032,110.0,3.5483870967741935,234.0,7.548387096774194,155.0,5.0,0.0,0.0,160.0,5.161290322580645
Minnesota->Utah,655.0,4.425675675675675,66.0,0.44594594594594594,289.0,1.9527027027027026,86.0,0.581081081081081,0.0,0.0,214.0,1.445945945945946
Washington->Michigan,654.0,4.33112582781457,232.0,1.5364238410596027,53.0,0.3509933774834437,235.0,1.5562913907284768,0.0,0.0,134.0,0.8874172185430463
North Carolina->U.S. Virgin Islands,654.0,18.685714285714287,0.0,0.0,263.0,7.514285714285714,127.0,3.6285714285714286,0.0,0.0,264.0,7.542857142857143
Washington->Oregon,651.0,4.120253164556962,0.0,0.0,278.0,1.759493670886076,164.0,1.0379746835443038,0.0,0.0,209.0,1.3227848101265822
Arizona->Oklahoma,646.0,4.364864864864865,0.0,0.0,281.0,1.8986486486486487,7.0,0.0472972972972973,0.0,0.0,358.0,2.418918918918919
North Carolina->Nebraska,644.0,7.853658536585366,0.0,0.0,204.0,2.4878048780487805,204.0,2.4878048780487805,0.0,0.0,236.0,2.8780487804878048
Nevada->Pennsylvania,641.0,3.95679012345679,0.0,0.0,307.0,1.8950617283950617,161.0,0.9938271604938271,0.0,0.0,173.0,1.0679012345679013
Oklahoma->Virginia,640.0,10.32258064516129,238.0,3.838709677419355,12.0,0.1935483870967742,45.0,0.7258064516129032,0.0,0.0,345.0,5.564516129032258
Texas->Montana,639.0,5.8090909090909095,37.0,0.33636363636363636,277.0,2.518181818181818,191.0,1.7363636363636363,0.0,0.0,134.0,1.2181818181818183
Maine->Florida,637.0,10.274193548387096,0.0,0.0,42.0,0.6774193548387096,200.0,3.225806451612903,0.0,0.0,395.0,6.370967741935484
Utah->Indiana,636.0,23.555555555555557,0.0,0.0,260.0,9.62962962962963,14.0,0.5185185185185185,0.0,0.0,362.0,13.407407407407407
Virginia->Arkansas,635.0,10.948275862068966,0.0,0.0,264.0,4.551724137931035,108.0,1.8620689655172413,0.0,0.0,263.0,4.5344827586206895
Minnesota->Kansas,628.0,11.017543859649123,46.0,0.8070175438596491,229.0,4.017543859649122,65.0,1.1403508771929824,0.0,0.0,288.0,5.052631578947368
Louisiana->Tennessee,619.0,5.3826086956521735,17.0,0.14782608695652175,97.0,0.8434782608695652,150.0,1.3043478260869565,0.0,0.0,355.0,3.0869565217391304
Georgia->Iowa,618.0,4.204081632653061,0.0,0.0,317.0,2.1564625850340136,98.0,0.6666666666666666,0.0,0.0,203.0,1.380952380952381
New Jersey->Nebraska,617.0,9.793650793650794,0.0,0.0,337.0,5.349206349206349,155.0,2.4603174603174605,0.0,0.0,125.0,1.9841269841269842
Nevada->Oklahoma,613.0,5.675925925925926,0.0,0.0,228.0,2.111111111111111,139.0,1.287037037037037,0.0,0.0,246.0,2.2777777777777777
Virginia->Puerto Rico,603.0,9.276923076923078,22.0,0.3384615384615385,255.0,3.923076923076923,319.0,4.907692307692308,0.0,0.0,7.0,0.1076923076923077
Georgia->West Virginia,601.0,5.136752136752137,1.0,0.008547008547008548,185.0,1.5811965811965811,124.0,1.0598290598290598,0.0,0.0,291.0,2.4871794871794872
Nevada->Indiana,593.0,6.445652173913044,0.0,0.0,198.0,2.152173913043478,39.0,0.42391304347826086,0.0,0.0,356.0,3.869565217391304
Illinois->New Hampshire,592.0,9.866666666666667,58.0,0.9666666666666667,260.0,4.333333333333333,136.0,2.2666666666666666,0.0,0.0,138.0,2.3
Maryland->Nevada,591.0,4.345588235294118,60.0,0.4411764705882353,280.0,2.0588235294117645,106.0,0.7794117647058824,0.0,0.0,145.0,1.0661764705882353
Wisconsin->Missouri,589.0,5.556603773584905,13.0,0.12264150943396226,65.0,0.6132075471698113,230.0,2.169811320754717,0.0,0.0,281.0,2.650943396226415
Arkansas->Florida,588.0,20.275862068965516,0.0,0.0,112.0,3.8620689655172415,28.0,0.9655172413793104,0.0,0.0,448.0,15.448275862068966
Wisconsin->Washington,586.0,9.451612903225806,319.0,5.145161290322581,175.0,2.8225806451612905,92.0,1.4838709677419355,0.0,0.0,0.0,0.0
Missouri->Wisconsin,586.0,5.528301886792453,0.0,0.0,108.0,1.0188679245283019,231.0,2.1792452830188678,0.0,0.0,247.0,2.330188679245283
Puerto Rico->Georgia,581.0,5.052173913043478,0.0,0.0,31.0,0.26956521739130435,240.0,2.0869565217391304,0.0,0.0,310.0,2.6956521739130435
Virginia->Nebraska,574.0,10.830188679245284,34.0,0.6415094339622641,166.0,3.1320754716981134,47.0,0.8867924528301887,0.0,0.0,327.0,6.169811320754717
Texas->Hawaii,571.0,4.107913669064748,0.0,0.0,268.0,1.9280575539568345,207.0,1.4892086330935252,0.0,0.0,96.0,0.6906474820143885
Arizona->Virginia,570.0,4.4186046511627906,0.0,0.0,213.0,1.6511627906976745,165.0,1.2790697674418605,0.0,0.0,192.0,1.4883720930232558
Utah->New Mexico,568.0,16.705882352941178,43.0,1.2647058823529411,306.0,9.0,7.0,0.20588235294117646,0.0,0.0,212.0,6.235294117647059
New York->Oregon,567.0,6.75,50.0,0.5952380952380952,328.0,3.9047619047619047,105.0,1.25,0.0,0.0,84.0,1.0
Nevada->Maryland,565.0,4.154411764705882,0.0,0.0,263.0,1.9338235294117647,134.0,0.9852941176470589,0.0,0.0,168.0,1.2352941176470589
California->Wisconsin,565.0,7.847222222222222,0.0,0.0,147.0,2.0416666666666665,346.0,4.805555555555555,0.0,0.0,72.0,1.0
Idaho->Nevada,564.0,7.05,0.0,0.0,264.0,3.3,124.0,1.55,0.0,0.0,176.0,2.2
Nevada->New Mexico,562.0,5.456310679611651,0.0,0.0,272.0,2.6407766990291264,123.0,1.1941747572815533,0.0,0.0,167.0,1.6213592233009708
Oregon->Washington,561.0,3.50625,0.0,0.0,51.0,0.31875,424.0,2.65,0.0,0.0,86.0,0.5375
Pennsylvania->Indiana,553.0,3.761904761904762,0.0,0.0,44.0,0.29931972789115646,86.0,0.5850340136054422,0.0,0.0,423.0,2.877551020408163
Washington->North Carolina,545.0,3.6824324324324325,0.0,0.0,163.0,1.1013513513513513,175.0,1.1824324324324325,0.0,0.0,207.0,1.3986486486486487
Utah->Pennsylvania,544.0,5.849462365591398,22.0,0.23655913978494625,363.0,3.903225806451613,77.0,0.8279569892473119,0.0,0.0,82.0,0.8817204301075269
Hawaii->Nevada,544.0,6.634146341463414,0.0,0.0,431.0,5.2560975609756095,0.0,0.0,67.0,0.8170731707317073,46.0,0.5609756097560976
Hawaii->Texas,538.0,3.870503597122302,0.0,0.0,279.0,2.0071942446043165,259.0,1.8633093525179856,0.0,0.0,0.0,0.0
Texas->Connecticut,527.0,6.349397590361446,0.0,0.0,443.0,5.337349397590361,40.0,0.4819277108433735,0.0,0.0,44.0,0.5301204819277109
Indiana->Pennsylvania,526.0,3.578231292517007,2.0,0.013605442176870748,38.0,0.2585034013605442,314.0,2.1360544217687076,0.0,0.0,172.0,1.1700680272108843
Virginia->Oklahoma,526.0,8.483870967741936,31.0,0.5,270.0,4.354838709677419,144.0,2.3225806451612905,0.0,0.0,81.0,1.3064516129032258
Maryland->Indiana,519.0,7.984615384615385,0.0,0.0,232.0,3.5692307692307694,38.0,0.5846153846153846,0.0,0.0,249.0,3.830769230769231
Florida->Nebraska,518.0,6.815789473684211,6.0,0.07894736842105263,148.0,1.9473684210526316,60.0,0.7894736842105263,0.0,0.0,304.0,4.0
California->Oklahoma,517.0,10.551020408163266,0.0,0.0,88.0,1.7959183673469388,212.0,4.326530612244898,0.0,0.0,217.0,4.428571428571429
Georgia->Rhode Island,517.0,6.304878048780488,0.0,0.0,309.0,3.768292682926829,174.0,2.1219512195121952,0.0,0.0,34.0,0.4146341463414634
North Carolina->Vermont,516.0,8.19047619047619,27.0,0.42857142857142855,20.0,0.31746031746031744,77.0,1.2222222222222223,0.0,0.0,392.0,6.222222222222222
New Hampshire->Maryland,515.0,3.3225806451612905,0.0,0.0,161.0,1.038709677419355,66.0,0.4258064516129032,0.0,0.0,288.0,1.8580645161290323
Michigan->New Hampshire,515.0,19.807692307692307,234.0,9.0,141.0,5.423076923076923,54.0,2.076923076923077,0.0,0.0,86.0,3.3076923076923075
Pennsylvania->Iowa,510.0,8.225806451612904,0.0,0.0,86.0,1.3870967741935485,107.0,1.7258064516129032,0.0,0.0,317.0,5.112903225806452
Iowa->North Carolina,507.0,3.335526315789474,111.0,0.7302631578947368,93.0,0.6118421052631579,239.0,1.5723684210526316,0.0,0.0,64.0,0.42105263157894735
