ORIGIN_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Alpena, MI",13093.0,20.9488,5474.0,8.7584,3505.0,5.608,915.0,1.464,37.0,0.0592,3162.0,5.0592
"Watertown, SD",12647.0,24.181644359464627,2215.0,4.235181644359464,4960.0,9.483747609942638,2576.0,4.925430210325048,0.0,0.0,2896.0,5.537284894837476
"New Haven, CT",12439.0,11.485687903970453,186.0,0.17174515235457063,3700.0,3.4164358264081254,3425.0,3.162511542012927,0.0,0.0,5128.0,4.734995383194829
"Rhinelander, WI",12433.0,15.425558312655086,3828.0,4.749379652605459,4736.0,5.875930521091812,910.0,1.1290322580645162,1.0,0.0012406947890818859,2958.0,3.6699751861042182
"Brunswick, GA",12378.0,11.936354869816778,1199.0,1.1562198649951785,4080.0,3.9344262295081966,1370.0,1.321118611378978,0.0,0.0,5729.0,5.524590163934426
"Liberal, KS",12281.0,19.6496,1374.0,2.1984,4363.0,6.9808,3553.0,5.6848,0.0,0.0,2991.0,4.7856
"Cheyenne, WY",12148.0,23.588349514563106,542.0,1.0524271844660193,6654.0,12.920388349514564,1161.0,2.254368932038835,42.0,0.08155339805825243,3749.0,7.279611650485437
"Rockford, IL",12138.0,16.205607476635514,558.0,0.7449933244325768,4561.0,6.089452603471295,1748.0,2.3337783711615487,31.0,0.04138851802403204,5240.0,6.995994659546062
"Valdosta, GA",11873.0,11.471497584541062,1653.0,1.5971014492753624,4344.0,4.197101449275363,1042.0,1.0067632850241546,0.0,0.0,4834.0,4.670531400966183
"Vernal, UT",11586.0,18.507987220447284,697.0,1.1134185303514377,3610.0,5.766773162939297,1293.0,2.0654952076677318,18.0,0.02875399361022364,5968.0,9.533546325878595
"Waterloo, IA",11538.0,16.482857142857142,452.0,0.6457142857142857,3944.0,5.634285714285714,3799.0,5.427142857142857,0.0,0.0,3343.0,4.775714285714286
"Kearney, NE",11515.0,16.834795321637426,1309.0,1.9137426900584795,4863.0,7.109649122807017,2993.0,4.375730994152047,0.0,0.0,2350.0,3.435672514619883
"Hobbs, NM",11402.0,15.243315508021391,182.0,0.24331550802139038,3129.0,4.183155080213904,5428.0,7.25668449197861,0.0,0.0,2663.0,3.5601604278074865
"Martha's Vineyard, MA",11380.0,20.615942028985508,294.0,0.532608695652174,3179.0,5.759057971014493,2627.0,4.759057971014493,56.0,0.10144927536231885,5224.0,9.46376811594203
"Texarkana, AR",11145.0,8.973429951690822,1270.0,1.0225442834138487,2333.0,1.8784219001610305,1446.0,1.1642512077294687,0.0,0.0,6096.0,4.908212560386473
"Helena, MT",10817.0,8.006661732050333,698.0,0.5166543301258327,4728.0,3.4996299037749816,2894.0,2.142116950407106,0.0,0.0,2497.0,1.848260547742413
"Niagara Falls, NY",10767.0,12.711924439197167,1407.0,1.6611570247933884,2382.0,2.812278630460449,2989.0,3.5289256198347108,0.0,0.0,3989.0,4.709563164108618
"Bemidji, MN",10609.0,14.297843665768195,1812.0,2.442048517520216,5136.0,6.921832884097035,534.0,0.7196765498652291,57.0,0.07681940700808626,3070.0,4.137466307277628
"Scottsbluff, NE",10589.0,16.9424,1013.0,1.6208,4534.0,7.2544,3053.0,4.8848,0.0,0.0,1989.0,3.1824
"Bellingham, WA",10468.0,5.695321001088139,382.0,0.20783460282916214,2655.0,1.4445048966267682,2499.0,1.3596300326441784,34.0,0.018498367791077257,4898.0,2.6648531011969534
"Latrobe, PA",10196.0,9.111706881143878,220.0,0.1966041108132261,2853.0,2.549597855227882,2116.0,1.8909740840035747,52.0,0.04647006255585344,4955.0,4.428060768543342
"Sitka, AK",10168.0,7.559851301115241,1651.0,1.2275092936802974,3379.0,2.512267657992565,849.0,0.6312267657992565,246.0,0.1828996282527881,4043.0,3.0059479553903348
"Casper, WY",9420.0,8.928909952606634,932.0,0.8834123222748815,2835.0,2.6872037914691944,3270.0,3.0995260663507107,0.0,0.0,2383.0,2.2587677725118485
"Stillwater, OK",8916.0,10.154897494305239,1667.0,1.898633257403189,2631.0,2.996583143507973,1245.0,1.417995444191344,0.0,0.0,3373.0,3.8416856492027334
"Del Rio, TX",8873.0,12.272475795297373,2267.0,3.135546334716459,3678.0,5.087136929460581,713.0,0.9861687413554634,0.0,0.0,2215.0,3.063623789764869
"Rock Springs, WY",8699.0,11.835374149659865,229.0,0.3115646258503401,952.0,1.2952380952380953,2828.0,3.8476190476190477,3.0,0.004081632653061225,4687.0,6.37687074829932
"North Platte, NE",8389.0,13.4224,96.0,0.1536,3398.0,5.4368,3124.0,4.9984,13.0,0.0208,1758.0,2.8128
"Garden City, KS",8387.0,11.520604395604396,2942.0,4.041208791208791,1825.0,2.506868131868132,1108.0,1.521978021978022,16.0,0.02197802197802198,2496.0,3.4285714285714284
"International Falls, MN",8267.0,12.757716049382717,614.0,0.9475308641975309,1452.0,2.240740740740741,798.0,1.2314814814814814,0.0,0.0,5403.0,8.337962962962964
"Longview, TX",8237.0,8.77209797657082,1411.0,1.5026624068157615,2178.0,2.319488817891374,1454.0,1.5484558040468583,40.0,0.042598509052183174,3154.0,3.3588924387646433
"Brainerd, MN",7847.0,12.33805031446541,3137.0,4.932389937106918,1152.0,1.8113207547169812,1646.0,2.588050314465409,8.0,0.012578616352201259,1904.0,2.993710691823899
"Elmira/Corning, NY",7673.0,12.724709784411276,1112.0,1.8441127694859039,2925.0,4.850746268656716,901.0,1.494195688225539,17.0,0.028192371475953566,2718.0,4.507462686567164
"Butte, MT",7459.0,11.017725258493353,1606.0,2.3722304283604134,3459.0,5.10930576070901,633.0,0.9350073855243722,0.0,0.0,1761.0,2.601181683899557
"Portsmouth, NH",7367.0,17.334117647058825,645.0,1.5176470588235293,1997.0,4.698823529411765,1266.0,2.978823529411765,26.0,0.0611764705882353,3433.0,8.07764705882353
"Cedar City, UT",7258.0,9.5249343832021,488.0,0.6404199475065617,2256.0,2.9606299212598426,1050.0,1.3779527559055118,0.0,0.0,3464.0,4.545931758530184
"Lewiston, ID",7037.0,7.108080808080808,1999.0,2.019191919191919,2677.0,2.7040404040404042,241.0,0.24343434343434345,0.0,0.0,2120.0,2.1414141414141414
"Pocatello, ID",6717.0,6.162385321100918,472.0,0.43302752293577984,1010.0,0.926605504587156,596.0,0.5467889908256881,0.0,0.0,4639.0,4.255963302752294
"Christiansted, VI",6331.0,7.08165548098434,15.0,0.016778523489932886,2073.0,2.3187919463087248,1201.0,1.3434004474272931,23.0,0.025727069351230425,3019.0,3.3769574944071588
