DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
"Lake Charles, LA",22638.0,11.456477732793521,0.0,944.0,3383.0,1.7120445344129556,0.0,717.0,7496.0,3.7935222672064777,0.0,842.0,4727.0,2.3922064777327936,0.0,944.0,16.0,0.008097165991902834,0.0,16.0,7016.0,3.5506072874493926,0.0,329.0
"Montrose/Delta, CO",22598.0,12.288200108754758,0.0,489.0,1379.0,0.7498640565524741,0.0,189.0,7717.0,4.196302338227297,0.0,358.0,4049.0,2.201740076128331,0.0,118.0,0.0,0.0,0.0,0.0,9453.0,5.140293637846656,0.0,306.0
"Abilene, TX",21369.0,9.40536971830986,0.0,450.0,1306.0,0.5748239436619719,0.0,117.0,6048.0,2.6619718309859155,0.0,204.0,4945.0,2.1764964788732395,0.0,345.0,17.0,0.007482394366197183,0.0,17.0,9053.0,3.984595070422535,0.0,433.0
"Santa Fe, NM",20973.0,11.664627363737486,0.0,850.0,561.0,0.3120133481646274,0.0,198.0,8670.0,4.82202447163515,0.0,850.0,3364.0,1.8709677419354838,0.0,73.0,0.0,0.0,0.0,0.0,8378.0,4.659621802002225,0.0,278.0
"Melbourne, FL",20835.0,7.96140619029423,0.0,320.0,1246.0,0.4761176920137562,0.0,139.0,7228.0,2.761941153993122,0.0,290.0,3910.0,1.4940771876194114,0.0,236.0,45.0,0.01719526175009553,0.0,40.0,8406.0,3.212074894917845,0.0,303.0
"Yuma, AZ",20736.0,10.8,0.0,1218.0,293.0,0.15260416666666668,0.0,87.0,9543.0,4.9703125,0.0,1195.0,1972.0,1.0270833333333333,0.0,168.0,0.0,0.0,0.0,0.0,8928.0,4.65,0.0,780.0
"Staunton, VA",20490.0,28.940677966101696,0.0,1407.0,241.0,0.3403954802259887,0.0,163.0,8785.0,12.408192090395481,0.0,1401.0,1149.0,1.6228813559322033,0.0,83.0,0.0,0.0,0.0,0.0,10315.0,14.569209039548022,0.0,1407.0
"Ponce, PR",20371.0,24.66222760290557,0.0,310.0,231.0,0.2796610169491525,0.0,59.0,8632.0,10.450363196125908,0.0,251.0,1970.0,2.3849878934624695,0.0,118.0,17.0,0.020581113801452784,0.0,17.0,9521.0,11.526634382566586,0.0,262.0
"Cape Girardeau, MO",20200.0,21.12970711297071,0.0,960.0,1729.0,1.8085774058577406,0.0,960.0,7885.0,8.247907949790795,0.0,921.0,1309.0,1.3692468619246863,0.0,60.0,0.0,0.0,0.0,0.0,9277.0,9.70397489539749,0.0,551.0
"Flagstaff, AZ",20166.0,10.118414450577019,0.0,805.0,312.0,0.15654791771199197,0.0,144.0,9814.0,4.924234821876568,0.0,805.0,1943.0,0.9749121926743602,0.0,72.0,2.0,0.0010035122930255895,0.0,2.0,8095.0,4.061716006021074,0.0,552.0
"Clarksburg/Fairmont, WV",19572.0,22.891228070175437,0.0,1072.0,1197.0,1.4,0.0,940.0,8285.0,9.690058479532164,0.0,1071.0,1899.0,2.221052631578947,0.0,652.0,0.0,0.0,0.0,0.0,8191.0,9.580116959064327,0.0,298.0
"CONCORD, NC",18538.0,13.521517140773158,0.0,1407.0,1869.0,1.363238512035011,0.0,243.0,5757.0,4.199124726477024,0.0,1400.0,3198.0,2.3326039387308533,0.0,139.0,31.0,0.02261123267687819,0.0,31.0,7683.0,5.6039387308533914,0.0,453.0
"Erie, PA",17455.0,14.61892797319933,0.0,1039.0,2903.0,2.4313232830820772,0.0,1032.0,6828.0,5.71859296482412,0.0,898.0,1335.0,1.1180904522613064,0.0,90.0,1.0,8.375209380234506E-4,0.0,1.0,6388.0,5.350083752093802,0.0,294.0
"Pellston, MI",17178.0,15.817679558011049,0.0,1042.0,7001.0,6.44659300184162,0.0,993.0,6045.0,5.566298342541437,0.0,679.0,1203.0,1.1077348066298343,0.0,386.0,180.0,0.16574585635359115,0.0,93.0,2749.0,2.5313075506445673,0.0,193.0
"Devils Lake, ND",17013.0,27.264423076923077,0.0,1171.0,1133.0,1.8157051282051282,0.0,882.0,9564.0,15.326923076923077,0.0,1045.0,715.0,1.1458333333333333,0.0,154.0,0.0,0.0,0.0,0.0,5601.0,8.975961538461538,0.0,794.0
"Hattiesburg/Laurel, MS",16749.0,23.623413258110013,0.0,975.0,456.0,0.6431593794076164,0.0,178.0,5834.0,8.228490832157968,0.0,963.0,984.0,1.38787023977433,0.0,114.0,0.0,0.0,0.0,0.0,9475.0,13.3638928067701,0.0,301.0
"Hancock/Houghton, MI",16436.0,22.576923076923077,0.0,786.0,3079.0,4.229395604395604,0.0,668.0,5860.0,8.04945054945055,0.0,786.0,2163.0,2.9711538461538463,0.0,681.0,0.0,0.0,0.0,0.0,5334.0,7.326923076923077,0.0,322.0
"Joplin, MO",16305.0,11.755587599134824,0.0,1275.0,1168.0,0.8421052631578947,0.0,178.0,5669.0,4.087238644556597,0.0,1270.0,3120.0,2.2494592645998557,0.0,79.0,59.0,0.04253785147801009,0.0,41.0,6289.0,4.534246575342466,0.0,261.0
"Ketchikan, AK",16227.0,6.809483843894251,0.0,323.0,969.0,0.40663029794376837,0.0,137.0,5304.0,2.225765841376416,0.0,314.0,2617.0,1.09819555182543,0.0,102.0,36.0,0.015107007973143098,0.0,36.0,7301.0,3.063785144775493,0.0,306.0
"Muskegon, MI",16173.0,22.246217331499313,0.0,718.0,1215.0,1.6712517193947731,0.0,718.0,8146.0,11.204951856946355,0.0,660.0,1289.0,1.7730398899587345,0.0,66.0,0.0,0.0,0.0,0.0,5523.0,7.59697386519945,0.0,461.0
"Latrobe, PA",16108.0,14.394995531724755,0.0,561.0,1588.0,1.419124218051832,0.0,561.0,3778.0,3.376228775692583,0.0,321.0,5021.0,4.4870420017873105,0.0,453.0,0.0,0.0,0.0,0.0,5721.0,5.112600536193029,0.0,271.0
"Laramie, WY",15878.0,25.364217252396166,0.0,830.0,2507.0,4.00479233226837,0.0,711.0,9383.0,14.988817891373802,0.0,828.0,903.0,1.4424920127795526,0.0,72.0,0.0,0.0,0.0,0.0,3085.0,4.9281150159744405,0.0,133.0
"Everett, WA",15718.0,9.666666666666666,0.0,584.0,180.0,0.11070110701107011,0.0,52.0,5288.0,3.252152521525215,0.0,584.0,2447.0,1.504920049200492,0.0,89.0,0.0,0.0,0.0,0.0,7803.0,4.7988929889298895,0.0,386.0
"Ogdensburg, NY",15519.0,29.2811320754717,0.0,914.0,590.0,1.1132075471698113,0.0,158.0,8660.0,16.339622641509433,0.0,909.0,1997.0,3.767924528301887,0.0,827.0,19.0,0.035849056603773584,0.0,19.0,4253.0,8.024528301886793,0.0,777.0
"Waco, TX",15322.0,8.516953863257365,0.0,683.0,1214.0,0.6748193440800445,0.0,208.0,4890.0,2.718176764869372,0.0,663.0,2008.0,1.1161756531406337,0.0,70.0,0.0,0.0,0.0,0.0,7210.0,4.007782101167315,0.0,633.0
"Quincy, IL",15299.0,24.207278481012658,0.0,943.0,781.0,1.235759493670886,0.0,189.0,7269.0,11.501582278481013,0.0,943.0,1206.0,1.9082278481012658,0.0,98.0,0.0,0.0,0.0,0.0,6043.0,9.561708860759493,0.0,263.0
