ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Salt Lake City, UT -> Milwaukee, WI",2108.0,8.674897119341564,93.0,0.38271604938271603,719.0,2.9588477366255144,142.0,0.5843621399176955,0.0,0.0,1154.0,4.748971193415638
"Sanford, FL -> Lexington, KY",2107.0,7.803703703703704,101.0,0.37407407407407406,891.0,3.3,225.0,0.8333333333333334,0.0,0.0,890.0,3.2962962962962963
"Orlando, FL -> San Jose, CA",2106.0,10.125,39.0,0.1875,1226.0,5.894230769230769,492.0,2.3653846153846154,0.0,0.0,349.0,1.6778846153846154
"Sitka, AK -> Ketchikan, AK",2103.0,5.761643835616439,27.0,0.07397260273972603,471.0,1.2904109589041095,108.0,0.2958904109589041,0.0,0.0,1497.0,4.101369863013699
"Portsmouth, NH -> Sanford, FL",2102.0,14.299319727891156,172.0,1.1700680272108843,271.0,1.8435374149659864,510.0,3.4693877551020407,0.0,0.0,1149.0,7.816326530612245
"St. Louis, MO -> Portland, OR",2102.0,5.971590909090909,45.0,0.1278409090909091,941.0,2.6732954545454546,241.0,0.6846590909090909,0.0,0.0,875.0,2.4857954545454546
"Dallas/Fort Worth, TX -> Sioux City, IA",2100.0,5.660377358490566,66.0,0.1778975741239892,454.0,1.2237196765498652,559.0,1.5067385444743935,0.0,0.0,1021.0,2.752021563342318
"Salt Lake City, UT -> Santa Barbara, CA",2099.0,5.273869346733668,660.0,1.6582914572864322,757.0,1.9020100502512562,240.0,0.6030150753768844,0.0,0.0,442.0,1.1105527638190955
"Chicago, IL -> Key West, FL",2098.0,6.702875399361022,99.0,0.31629392971246006,339.0,1.0830670926517572,989.0,3.159744408945687,0.0,0.0,671.0,2.143769968051118
"Cincinnati, OH -> St. Louis, MO",2090.0,11.546961325966851,19.0,0.10497237569060773,819.0,4.524861878453039,154.0,0.850828729281768,0.0,0.0,1098.0,6.066298342541437
"Nantucket, MA -> White Plains, NY",2090.0,25.48780487804878,147.0,1.7926829268292683,765.0,9.329268292682928,335.0,4.085365853658536,0.0,0.0,843.0,10.28048780487805
"Harrisburg, PA -> Denver, CO",2089.0,24.576470588235296,0.0,0.0,722.0,8.494117647058824,293.0,3.447058823529412,0.0,0.0,1074.0,12.635294117647058
"Bangor, ME -> Charlotte, NC",2087.0,10.331683168316832,81.0,0.400990099009901,169.0,0.8366336633663366,903.0,4.47029702970297,0.0,0.0,934.0,4.623762376237623
"Salt Lake City, UT -> Pittsburgh, PA",2084.0,6.1114369501466275,183.0,0.5366568914956011,1285.0,3.768328445747801,252.0,0.7390029325513197,0.0,0.0,364.0,1.067448680351906
"Minneapolis, MN -> Dallas, TX",2084.0,5.805013927576602,208.0,0.5793871866295265,899.0,2.5041782729805013,722.0,2.011142061281337,0.0,0.0,255.0,0.7103064066852368
"Greensboro/High Point, NC -> Fort Lauderdale, FL",2081.0,17.198347107438018,107.0,0.8842975206611571,996.0,8.231404958677686,638.0,5.2727272727272725,0.0,0.0,340.0,2.809917355371901
"Spokane, WA -> Oakland, CA",2080.0,3.1372549019607843,0.0,0.0,656.0,0.9894419306184012,451.0,0.6802413273001509,0.0,0.0,973.0,1.4675716440422322
"Seattle, WA -> Pasco/Kennewick/Richland, WA",2079.0,19.429906542056074,1283.0,11.990654205607477,179.0,1.6728971962616823,16.0,0.14953271028037382,0.0,0.0,601.0,5.616822429906542
"Kona, HI -> Portland, OR",2076.0,9.746478873239436,0.0,0.0,170.0,0.7981220657276995,349.0,1.6384976525821595,0.0,0.0,1557.0,7.309859154929577
"Raleigh/Durham, NC -> San Juan, PR",2072.0,13.113924050632912,0.0,0.0,837.0,5.2974683544303796,803.0,5.082278481012659,5.0,0.03164556962025317,427.0,2.7025316455696204
