ROUTE BETWEEN STATES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
New York -> Georgia,317294.0,13.918845411475697,0.0,1299.0,17145.0,0.752105632567117,0.0,1198.0,100143.0,4.393007545183366,0.0,1220.0,77228.0,3.3877873311107214,0.0,966.0,242.0,0.010615897525881733,0.0,57.0,122536.0,5.375329005088612,0.0,1122.0
Georgia -> New York,308460.0,13.531321284435865,0.0,1461.0,18365.0,0.8056237936480084,0.0,1068.0,81573.0,3.578390945779961,0.0,1323.0,128597.0,5.6412089840322865,0.0,851.0,638.0,0.027987366204597297,0.0,221.0,79287.0,3.4781101947710122,0.0,479.0
Georgia -> Texas,306572.0,10.304594803536016,0.0,1444.0,13922.0,0.46795065712076905,0.0,872.0,107170.0,3.6022318577526806,0.0,1444.0,84992.0,2.856777923431145,0.0,807.0,183.0,0.006151053746092568,0.0,49.0,100305.0,3.371483311485328,0.0,749.0
California -> Hawaii,306239.0,10.548325985119869,0.0,1421.0,3066.0,0.1056076054009369,0.0,319.0,156136.0,5.37806558280518,0.0,1421.0,55557.0,1.9136470101956462,0.0,228.0,456.0,0.015706806282722512,0.0,88.0,91024.0,3.1352989804353815,0.0,690.0
Virginia -> Illinois,303921.0,16.47536184745487,0.0,1557.0,12320.0,0.6678592725104353,0.0,1027.0,68100.0,3.691657180029273,0.0,1557.0,114356.0,6.199165175909362,0.0,1322.0,53.0,0.0028730958963517103,0.0,25.0,109092.0,5.913807123109449,0.0,1400.0
Tennessee -> Texas,293372.0,14.61088699636436,0.0,1737.0,12576.0,0.6263260122516061,0.0,890.0,77887.0,3.879027840031874,0.0,1460.0,78560.0,3.9125454454903132,0.0,1711.0,89.0,0.004432491657951093,0.0,24.0,124260.0,6.188555206932616,0.0,1357.0
Illinois -> Virginia,284031.0,15.501337117284287,0.0,1141.0,16476.0,0.8991977296294275,0.0,456.0,94215.0,5.1418981607815315,0.0,1141.0,57236.0,3.1237242809583585,0.0,382.0,81.0,0.004420673470501555,0.0,54.0,116023.0,6.332096272444469,0.0,1013.0
North Carolina -> Georgia,277493.0,10.245643184167774,0.0,1170.0,20488.0,0.756461379412199,0.0,846.0,82502.0,3.0461527100871364,0.0,1170.0,51513.0,1.9019716437749226,0.0,996.0,259.0,0.009562841530054645,0.0,70.0,122731.0,4.531494609363461,0.0,620.0
Minnesota -> Illinois,269405.0,16.96398211699515,0.0,1744.0,29097.0,1.8321894087274102,0.0,940.0,55827.0,3.515332787607833,0.0,1688.0,94736.0,5.965367420187645,0.0,1364.0,59.0,0.0037151312889616523,0.0,18.0,89686.0,5.6473773691833005,0.0,594.0
North Carolina -> Virginia,269222.0,12.2870704212496,0.0,1155.0,17299.0,0.7895121172014057,0.0,349.0,70934.0,3.2373693578567844,0.0,1155.0,45816.0,2.09100451827849,0.0,1056.0,424.0,0.019351010907763224,0.0,91.0,134749.0,6.149833417005158,0.0,845.0
Arizona -> Texas,266747.0,10.704992374989967,0.0,1194.0,10481.0,0.42061963239425315,0.0,1194.0,89592.0,3.5954731519383576,0.0,1035.0,43377.0,1.7407897905128822,0.0,444.0,384.0,0.015410546592824464,0.0,52.0,122913.0,4.932699253551649,0.0,990.0
Pennsylvania -> Illinois,265436.0,15.320981240981242,0.0,1422.0,14383.0,0.8301875901875901,0.0,1082.0,64908.0,3.7464935064935063,0.0,1389.0,95874.0,5.533852813852814,0.0,504.0,184.0,0.01062049062049062,0.0,59.0,90087.0,5.19982683982684,0.0,814.0
Virginia -> North Carolina,262979.0,11.867283393501806,0.0,1795.0,14701.0,0.6634025270758123,0.0,935.0,68601.0,3.0957129963898917,0.0,1784.0,41291.0,1.863312274368231,0.0,747.0,494.0,0.022292418772563178,0.0,99.0,137892.0,6.2225631768953065,0.0,886.0
Michigan -> New York,262265.0,16.139384615384614,0.0,2649.0,29673.0,1.8260307692307691,0.0,1010.0,73623.0,4.5306461538461535,0.0,2592.0,92135.0,5.669846153846154,0.0,1109.0,972.0,0.05981538461538462,0.0,332.0,65862.0,4.053046153846154,0.0,1025.0
Texas -> Missouri,259799.0,11.501638037896228,0.0,1275.0,17146.0,0.7590756153709934,0.0,616.0,100174.0,4.434832654506818,0.0,1270.0,32552.0,1.4411191783247743,0.0,285.0,107.0,0.0047370285107136536,0.0,41.0,109820.0,4.861873561182929,0.0,762.0
Ohio -> Illinois,259541.0,14.828372279037879,0.0,1847.0,10124.0,0.5784151288350569,0.0,1847.0,61144.0,3.493343998171742,0.0,1622.0,94289.0,5.387019368108325,0.0,1016.0,17.0,9.712620693595384E-4,0.0,17.0,93967.0,5.368622521853396,0.0,934.0
Georgia -> North Carolina,253292.0,9.36038433111604,0.0,1173.0,16073.0,0.5939763488543977,0.0,724.0,94313.0,3.485328898743533,0.0,1087.0,37746.0,1.3949002217294901,0.0,1173.0,157.0,0.005801921655580192,0.0,62.0,105003.0,3.8803769401330377,0.0,582.0
Utah -> California,252622.0,9.121244945118429,0.0,1756.0,14053.0,0.5074017908723282,0.0,821.0,98363.0,3.5515236857307912,0.0,1756.0,62776.0,2.2666088965915656,0.0,1447.0,110.0,0.003971692663200462,0.0,26.0,77320.0,2.791738879260543,0.0,579.0
Illinois -> Minnesota,251339.0,15.804502295164434,0.0,1322.0,26484.0,1.6653461611016789,0.0,912.0,68143.0,4.284914795950449,0.0,1305.0,49170.0,3.0918694585927184,0.0,427.0,145.0,0.00911777652015343,0.0,65.0,107397.0,6.753254102999434,0.0,969.0
Colorado -> Illinois,250840.0,20.530365035193977,0.0,1431.0,21680.0,1.7744311671304633,0.0,1389.0,65431.0,5.355295465706335,0.0,1390.0,69802.0,5.7130463250941235,0.0,1418.0,116.0,0.00949418890162056,0.0,54.0,93811.0,7.678097888361434,0.0,735.0
Missouri -> Illinois,250610.0,16.318942501790715,0.0,1658.0,17087.0,1.1126522107182393,0.0,1385.0,58940.0,3.837989190597122,0.0,1394.0,71301.0,4.642899003711663,0.0,1070.0,191.0,0.012437324998372077,0.0,155.0,103091.0,6.712964771765319,0.0,975.0
California -> Utah,249993.0,9.018506493506493,0.0,1486.0,8276.0,0.2985569985569986,0.0,1136.0,88914.0,3.2075757575757575,0.0,1204.0,25590.0,0.9231601731601732,0.0,1299.0,595.0,0.021464646464646464,0.0,94.0,126618.0,4.567748917748918,0.0,1437.0
Virginia -> Texas,247708.0,13.641810772111466,0.0,1409.0,18904.0,1.0410838198039432,0.0,922.0,69831.0,3.8457429232294307,0.0,1375.0,57735.0,3.179590263244851,0.0,898.0,107.0,0.00589271946249587,0.0,22.0,101131.0,5.569501046370745,0.0,1368.0
Oklahoma -> Texas,247248.0,13.373431414971874,0.0,1589.0,19442.0,1.051601038511467,0.0,416.0,65376.0,3.536131544785807,0.0,1571.0,58033.0,3.1389549978364344,0.0,1082.0,480.0,0.025962786672436174,0.0,332.0,103917.0,5.620781047165729,0.0,1071.0
Illinois -> Ohio,246926.0,14.00521808178776,0.0,1130.0,14983.0,0.8498099937609892,0.0,532.0,80548.0,4.568544041744654,0.0,1130.0,41625.0,2.3608984175599796,0.0,333.0,33.0,0.0018717032499574614,0.0,24.0,109737.0,6.22409392547218,0.0,984.0
Virginia -> Massachusetts,243986.0,18.61067887109077,0.0,1123.0,10423.0,0.7950419527078566,0.0,383.0,48701.0,3.714797864225782,0.0,1068.0,86155.0,6.571700991609458,0.0,1002.0,41.0,0.0031273836765827612,0.0,19.0,98666.0,7.526010678871091,0.0,661.0
Illinois -> Pennsylvania,243804.0,14.066697438264482,0.0,1089.0,15097.0,0.8710477729056081,0.0,530.0,70683.0,4.078179090699285,0.0,811.0,55563.0,3.2058042926378953,0.0,733.0,123.0,0.007096699746134318,0.0,33.0,102338.0,5.90456958227556,0.0,597.0
Texas -> Tennessee,243572.0,12.111984087518648,0.0,901.0,15050.0,0.7483838886126305,0.0,398.0,93125.0,4.63078070611636,0.0,901.0,32980.0,1.6399801093983093,0.0,311.0,266.0,0.01322725012431626,0.0,60.0,102151.0,5.079612133267031,0.0,706.0
Texas -> Oklahoma,243434.0,13.1365819437699,0.0,1007.0,21447.0,1.157357940747936,0.0,673.0,92155.0,4.973018185742809,0.0,941.0,29746.0,1.6052020937887863,0.0,1000.0,122.0,0.00658356267875452,0.0,45.0,99964.0,5.394420160811613,0.0,718.0
Tennessee -> Illinois,240872.0,18.568609312365094,0.0,1243.0,7961.0,0.6137064446500154,0.0,979.0,66407.0,5.1192568609312366,0.0,1227.0,83174.0,6.4118100524205985,0.0,1243.0,18.0,0.0013876040703052729,0.0,11.0,83312.0,6.422448350292939,0.0,1123.0
California -> New Jersey,240333.0,17.017135169581532,0.0,1153.0,3279.0,0.2321744671811938,0.0,650.0,56918.0,4.030163562982369,0.0,892.0,112953.0,7.9978049989379025,0.0,694.0,9.0,6.372583728669546E-4,0.0,9.0,67174.0,4.756354882107201,0.0,597.0
