ORIGIN,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
MHK,35694.0,18.0,0.0,1107.0,2385.0,1.2027231467473525,0.0,443.0,12489.0,6.29803328290469,0.0,878.0,8399.0,4.235501765002521,0.0,384.0,0.0,0.0,0.0,0.0,12421.0,6.263741805345436,0.0,614.0
HYS,34984.0,27.96482813749001,0.0,1287.0,1185.0,0.947242206235012,0.0,319.0,12639.0,10.103117505995204,0.0,1271.0,1770.0,1.4148681055155876,0.0,107.0,0.0,0.0,0.0,0.0,19390.0,15.499600319744205,0.0,1094.0
TRI,34630.0,11.723087339201083,0.0,675.0,1741.0,0.5893703452945159,0.0,396.0,12610.0,4.268788083953961,0.0,636.0,3229.0,1.0930941096817874,0.0,109.0,0.0,0.0,0.0,0.0,17050.0,5.7718348002708195,0.0,546.0
JNU,33711.0,7.466445182724253,0.0,574.0,1595.0,0.3532668881506091,0.0,189.0,9774.0,2.164784053156146,0.0,455.0,5532.0,1.225249169435216,0.0,119.0,120.0,0.026578073089700997,0.0,50.0,16690.0,3.6965669988925804,0.0,511.0
CWA,33273.0,12.767843438219494,0.0,1024.0,4700.0,1.8035303146584805,0.0,888.0,8262.0,3.170376055257099,0.0,458.0,7181.0,2.7555640828856487,0.0,413.0,30.0,0.011511895625479662,0.0,17.0,13100.0,5.026861089792786,0.0,799.0
MTJ,33163.0,18.033170201196302,0.0,1605.0,2263.0,1.2305600870038065,0.0,1067.0,7856.0,4.271886895051659,0.0,1516.0,7892.0,4.291462751495378,0.0,388.0,24.0,0.013050570962479609,0.0,21.0,15128.0,8.22620989668298,0.0,1262.0
MBS,33104.0,12.890965732087228,0.0,872.0,2706.0,1.0537383177570094,0.0,752.0,11420.0,4.447040498442368,0.0,872.0,5728.0,2.230529595015576,0.0,373.0,0.0,0.0,0.0,0.0,13250.0,5.159657320872274,0.0,534.0
SGU,32601.0,12.534025374855824,0.0,1384.0,1177.0,0.45251826220684355,0.0,464.0,16895.0,6.495578623606305,0.0,1384.0,5001.0,1.922722029988466,0.0,262.0,14.0,0.005382545174932718,0.0,14.0,9514.0,3.657823913879277,0.0,370.0
MOT,32434.0,14.188101487314086,0.0,1644.0,6376.0,2.78915135608049,0.0,1033.0,12474.0,5.456692913385827,0.0,1643.0,4172.0,1.8250218722659668,0.0,291.0,50.0,0.021872265966754154,0.0,26.0,9362.0,4.095363079615048,0.0,604.0
FSM,32122.0,14.836951501154735,0.0,1204.0,3956.0,1.8272517321016166,0.0,451.0,9561.0,4.4161662817551965,0.0,1204.0,4019.0,1.85635103926097,0.0,322.0,0.0,0.0,0.0,0.0,14586.0,6.737182448036951,0.0,565.0
MEI,32037.0,32.85846153846154,0.0,1418.0,1713.0,1.756923076923077,0.0,812.0,11258.0,11.546666666666667,0.0,1410.0,3377.0,3.463589743589744,0.0,264.0,32.0,0.03282051282051282,0.0,21.0,15657.0,16.05846153846154,0.0,701.0
SCE,31324.0,17.40222222222222,0.0,1355.0,3396.0,1.8866666666666667,0.0,449.0,11239.0,6.243888888888889,0.0,1328.0,5599.0,3.1105555555555555,0.0,379.0,0.0,0.0,0.0,0.0,11090.0,6.161111111111111,0.0,473.0
SPI,30670.0,17.057842046718577,0.0,920.0,2598.0,1.4449388209121246,0.0,425.0,10353.0,5.758064516129032,0.0,909.0,7356.0,4.091212458286986,0.0,419.0,109.0,0.060622914349276975,0.0,79.0,10254.0,5.703003337041157,0.0,364.0
