ROUTE BETWEEN CITIES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
"Honolulu, HI -> San Diego, CA",6616.0,9.063013698630137,0.0,189.0,24.0,0.03287671232876712,0.0,24.0,3762.0,5.153424657534247,0.0,139.0,797.0,1.0917808219178082,0.0,48.0,481.0,0.6589041095890411,0.0,178.0,1552.0,2.126027397260274,0.0,109.0
"Nashville, TN -> Pittsburgh, PA",6614.0,9.072702331961592,0.0,186.0,13.0,0.01783264746227709,0.0,13.0,2069.0,2.8381344307270235,0.0,134.0,163.0,0.22359396433470508,0.0,17.0,0.0,0.0,0.0,0.0,4369.0,5.9931412894375855,0.0,186.0
"Minneapolis, MN -> La Crosse, WI",6610.0,9.042407660738714,0.0,1017.0,1994.0,2.7277701778385772,0.0,787.0,1934.0,2.6456908344733243,0.0,662.0,571.0,0.7811217510259918,0.0,59.0,61.0,0.08344733242134063,0.0,61.0,2050.0,2.80437756497948,0.0,230.0
"Albuquerque, NM -> San Diego, CA",6606.0,6.824380165289257,0.0,762.0,1031.0,1.0650826446280992,0.0,762.0,2556.0,2.6404958677685952,0.0,374.0,1249.0,1.290289256198347,0.0,185.0,23.0,0.023760330578512397,0.0,23.0,1747.0,1.8047520661157024,0.0,145.0
"Pittsburgh, PA -> Las Vegas, NV",6603.0,7.860714285714286,0.0,279.0,276.0,0.32857142857142857,0.0,75.0,963.0,1.1464285714285714,0.0,113.0,2256.0,2.6857142857142855,0.0,182.0,0.0,0.0,0.0,0.0,3108.0,3.7,0.0,277.0
"Tampa, FL -> Columbus, OH",6597.0,5.986388384754991,0.0,346.0,280.0,0.2540834845735027,0.0,80.0,2042.0,1.852994555353902,0.0,227.0,603.0,0.5471869328493648,0.0,89.0,20.0,0.018148820326678767,0.0,20.0,3652.0,3.313974591651543,0.0,344.0
"Boston, MA -> Savannah, GA",6595.0,11.610915492957746,0.0,258.0,371.0,0.653169014084507,0.0,197.0,3730.0,6.566901408450704,0.0,217.0,1017.0,1.7904929577464788,0.0,104.0,0.0,0.0,0.0,0.0,1477.0,2.6003521126760565,0.0,152.0
"Minneapolis, MN -> Missoula, MT",6591.0,12.071428571428571,0.0,948.0,1292.0,2.3663003663003663,0.0,935.0,2818.0,5.1611721611721615,0.0,661.0,420.0,0.7692307692307693,0.0,60.0,0.0,0.0,0.0,0.0,2061.0,3.7747252747252746,0.0,244.0
"Cedar Rapids/Iowa City, IA -> Charlotte, NC",6585.0,8.89864864864865,0.0,525.0,876.0,1.1837837837837837,0.0,229.0,2057.0,2.7797297297297296,0.0,432.0,1456.0,1.9675675675675677,0.0,111.0,0.0,0.0,0.0,0.0,2196.0,2.9675675675675675,0.0,494.0
"Atlanta, GA -> Dayton, OH",6572.0,4.76231884057971,0.0,241.0,396.0,0.28695652173913044,0.0,69.0,2668.0,1.9333333333333333,0.0,149.0,749.0,0.5427536231884058,0.0,81.0,0.0,0.0,0.0,0.0,2759.0,1.9992753623188406,0.0,216.0
"St. Louis, MO -> San Diego, CA",6570.0,8.736702127659575,0.0,188.0,255.0,0.3390957446808511,0.0,90.0,2293.0,3.0492021276595747,0.0,130.0,1661.0,2.208776595744681,0.0,134.0,13.0,0.017287234042553192,0.0,13.0,2348.0,3.122340425531915,0.0,179.0
