ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Madison, WI->Philadelphia, PA",741.0,14.529411764705882,40.0,0.7843137254901961,293.0,5.745098039215686,92.0,1.803921568627451,0.0,0.0,316.0,6.196078431372549
"Charlotte, NC->San Diego, CA",741.0,8.325842696629213,0.0,0.0,239.0,2.6853932584269664,392.0,4.404494382022472,0.0,0.0,110.0,1.2359550561797752
"Fort Myers, FL->Islip, NY",740.0,52.857142857142854,0.0,0.0,115.0,8.214285714285714,205.0,14.642857142857142,0.0,0.0,420.0,30.0
"Lansing, MI->Chicago, IL",740.0,11.384615384615385,84.0,1.2923076923076924,20.0,0.3076923076923077,446.0,6.861538461538461,0.0,0.0,190.0,2.923076923076923
"Atlanta, GA->San Diego, CA",740.0,4.252873563218391,52.0,0.2988505747126437,243.0,1.396551724137931,346.0,1.9885057471264367,0.0,0.0,99.0,0.5689655172413793
"Spokane, WA->Denver, CO",737.0,5.943548387096774,121.0,0.9758064516129032,77.0,0.6209677419354839,298.0,2.403225806451613,0.0,0.0,241.0,1.9435483870967742
"Rochester, NY->Charlotte, NC",737.0,7.155339805825243,16.0,0.1553398058252427,431.0,4.184466019417476,85.0,0.8252427184466019,0.0,0.0,205.0,1.9902912621359223
"New Orleans, LA->Philadelphia, PA",736.0,8.975609756097562,0.0,0.0,161.0,1.9634146341463414,95.0,1.1585365853658536,0.0,0.0,480.0,5.853658536585366
"Tucson, AZ->Houston, TX",735.0,5.833333333333333,154.0,1.2222222222222223,270.0,2.142857142857143,69.0,0.5476190476190477,0.0,0.0,242.0,1.9206349206349207
"San Jose, CA->Reno, NV",735.0,6.504424778761062,171.0,1.5132743362831858,273.0,2.415929203539823,54.0,0.4778761061946903,0.0,0.0,237.0,2.0973451327433628
"Dayton, OH->Newark, NJ",734.0,23.677419354838708,13.0,0.41935483870967744,259.0,8.35483870967742,343.0,11.064516129032258,0.0,0.0,119.0,3.838709677419355
"Savannah, GA->Atlanta, GA",734.0,2.8897637795275593,4.0,0.015748031496062992,119.0,0.468503937007874,278.0,1.094488188976378,0.0,0.0,333.0,1.311023622047244
"San Diego, CA->Reno, NV",732.0,7.870967741935484,0.0,0.0,276.0,2.967741935483871,116.0,1.2473118279569892,0.0,0.0,340.0,3.6559139784946235
"Dallas, TX->Orlando, FL",732.0,4.784313725490196,0.0,0.0,354.0,2.3137254901960786,134.0,0.8758169934640523,0.0,0.0,244.0,1.5947712418300655
"Baltimore, MD->San Juan, PR",732.0,10.764705882352942,25.0,0.36764705882352944,429.0,6.3088235294117645,207.0,3.0441176470588234,0.0,0.0,71.0,1.0441176470588236
"Los Angeles, CA->St. Louis, MO",731.0,5.297101449275362,0.0,0.0,140.0,1.0144927536231885,216.0,1.565217391304348,0.0,0.0,375.0,2.717391304347826
"Dayton, OH->Houston, TX",731.0,23.580645161290324,6.0,0.1935483870967742,386.0,12.451612903225806,339.0,10.935483870967742,0.0,0.0,0.0,0.0
"St. Louis, MO->Des Moines, IA",730.0,12.586206896551724,0.0,0.0,137.0,2.3620689655172415,29.0,0.5,0.0,0.0,564.0,9.724137931034482
"Champaign/Urbana, IL->Charlotte, NC",730.0,22.8125,208.0,6.5,479.0,14.96875,43.0,1.34375,0.0,0.0,0.0,0.0
"Baltimore, MD->Charleston, SC",730.0,7.684210526315789,0.0,0.0,547.0,5.757894736842105,58.0,0.6105263157894737,0.0,0.0,125.0,1.3157894736842106
"Grand Junction, CO->Phoenix, AZ",729.0,11.758064516129032,0.0,0.0,546.0,8.806451612903226,87.0,1.403225806451613,0.0,0.0,96.0,1.5483870967741935
"Dallas/Fort Worth, TX->Bismarck/Mandan, ND",728.0,14.857142857142858,33.0,0.673469387755102,172.0,3.510204081632653,64.0,1.3061224489795917,0.0,0.0,459.0,9.36734693877551
"Madison, WI->Atlanta, GA",727.0,8.552941176470588,94.0,1.1058823529411765,201.0,2.364705882352941,142.0,1.6705882352941177,0.0,0.0,290.0,3.411764705882353
"Bangor, ME->Newark, NJ",726.0,16.88372093023256,0.0,0.0,41.0,0.9534883720930233,562.0,13.069767441860465,0.0,0.0,123.0,2.86046511627907
"Cincinnati, OH->St. Petersburg, FL",726.0,30.25,0.0,0.0,612.0,25.5,59.0,2.4583333333333335,0.0,0.0,55.0,2.2916666666666665
"Denver, CO->Fort Myers, FL",726.0,10.676470588235293,106.0,1.5588235294117647,123.0,1.8088235294117647,221.0,3.25,0.0,0.0,276.0,4.0588235294117645
"Denver, CO->Fayetteville, AR",726.0,14.52,0.0,0.0,477.0,9.54,108.0,2.16,0.0,0.0,141.0,2.82
"Salt Lake City, UT->Burbank, CA",725.0,6.651376146788991,99.0,0.908256880733945,49.0,0.44954128440366975,147.0,1.348623853211009,0.0,0.0,430.0,3.944954128440367
"Dallas/Fort Worth, TX->Corpus Christi, TX",724.0,4.137142857142857,49.0,0.28,186.0,1.062857142857143,86.0,0.49142857142857144,0.0,0.0,403.0,2.302857142857143
"Atlanta, GA->Sarasota/Bradenton, FL",724.0,3.8105263157894735,0.0,0.0,444.0,2.336842105263158,120.0,0.631578947368421,0.0,0.0,160.0,0.8421052631578947
"Newark, NJ->Portland, ME",723.0,20.65714285714286,0.0,0.0,273.0,7.8,164.0,4.685714285714286,0.0,0.0,286.0,8.17142857142857
"Madison, WI->Denver, CO",722.0,10.027777777777779,165.0,2.2916666666666665,45.0,0.625,329.0,4.569444444444445,0.0,0.0,183.0,2.5416666666666665
"Seattle, WA->Atlanta, GA",721.0,3.5,389.0,1.8883495145631068,67.0,0.32524271844660196,95.0,0.46116504854368934,0.0,0.0,170.0,0.8252427184466019
"Baltimore, MD->San Diego, CA",720.0,7.912087912087912,0.0,0.0,488.0,5.362637362637362,47.0,0.5164835164835165,0.0,0.0,185.0,2.032967032967033
"Dallas/Fort Worth, TX->Montrose/Delta, CO",720.0,16.363636363636363,6.0,0.13636363636363635,196.0,4.454545454545454,319.0,7.25,0.0,0.0,199.0,4.5227272727272725
"Colorado Springs, CO->Houston, TX",720.0,9.0,0.0,0.0,429.0,5.3625,60.0,0.75,0.0,0.0,231.0,2.8875
"Phoenix, AZ->Cincinnati, OH",719.0,13.072727272727272,0.0,0.0,271.0,4.927272727272728,47.0,0.8545454545454545,0.0,0.0,401.0,7.290909090909091
"Sarasota/Bradenton, FL->Atlanta, GA",718.0,3.778947368421053,0.0,0.0,333.0,1.7526315789473683,111.0,0.5842105263157895,0.0,0.0,274.0,1.4421052631578948
"Denver, CO->Hays, KS",718.0,13.296296296296296,132.0,2.4444444444444446,327.0,6.055555555555555,209.0,3.8703703703703702,0.0,0.0,50.0,0.9259259259259259
"Boston, MA->Long Beach, CA",717.0,12.803571428571429,0.0,0.0,387.0,6.910714285714286,65.0,1.1607142857142858,0.0,0.0,265.0,4.732142857142857
"Phoenix, AZ->Boise, ID",717.0,7.029411764705882,0.0,0.0,457.0,4.480392156862745,100.0,0.9803921568627451,0.0,0.0,160.0,1.5686274509803921
"Savannah, GA->Dallas/Fort Worth, TX",717.0,13.277777777777779,0.0,0.0,472.0,8.74074074074074,18.0,0.3333333333333333,0.0,0.0,227.0,4.203703703703703
"Kalispell, MT->Salt Lake City, UT",716.0,8.136363636363637,358.0,4.068181818181818,35.0,0.3977272727272727,89.0,1.0113636363636365,0.0,0.0,234.0,2.659090909090909
"St. Louis, MO->Fort Lauderdale, FL",715.0,10.833333333333334,0.0,0.0,209.0,3.1666666666666665,110.0,1.6666666666666667,0.0,0.0,396.0,6.0
"Atlanta, GA->Albany, NY",715.0,8.411764705882353,0.0,0.0,113.0,1.3294117647058823,589.0,6.929411764705883,0.0,0.0,13.0,0.15294117647058825
