ROUTE_PATH,ENTRY_LONGITUDE,ENTRY_LATITUDE,EXIT_LONGITUDE,EXIT_LATITUDE,ENTRY_TIME,EXIT_TIME,IS_IN_AREA
1119302->1486903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1098002,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1348702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1348702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1449202,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1169706->1143302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1169706->1143302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1219102->1233904,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1219702->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1295304->1099402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1348502->1410702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1463502->1348702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1468305->1288903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1474703->1323202,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1477104->1125903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1501606->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1501606->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1078105->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1080003->1410702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1082106->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1082106->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1082106->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1082106->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1082106->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1105703->1524906,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1069302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1078502,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129202->1084905,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1129806->1299206,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1405702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1405702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1324402->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1410702->1198603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1467903->1247805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1467903->1247805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1486903->1490803,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1226402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1226402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1069302->1410005,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1069302->1410005,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1086803->1127805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1509602,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1059904,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1481402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1042302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1161802->1468305,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1233904->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1143302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1484306,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1484306,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1385103->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1457405->1476106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1467903->1082106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1501606->1477104,-106.49966985105557,39.29350130121028,-106.49966985105557,39.29350130121028,0.0,0.0,INSIDE
1129806->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1402702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1405702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1324402->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1348702->1468305,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1393006->1068502,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1419306->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
