TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N328RR,367.0,6.553571428571429,53.0,0.9464285714285714,69.0,1.2321428571428572,173.0,3.0892857142857144,0.0,0.0,72.0,1.2857142857142858
N68822,367.0,5.919354838709677,0.0,0.0,13.0,0.20967741935483872,226.0,3.6451612903225805,0.0,0.0,128.0,2.064516129032258
N965TW,367.0,3.67,46.0,0.46,122.0,1.22,70.0,0.7,0.0,0.0,129.0,1.29
N14001,366.0,8.714285714285714,0.0,0.0,154.0,3.6666666666666665,177.0,4.214285714285714,0.0,0.0,35.0,0.8333333333333334
N9620D,366.0,3.7346938775510203,20.0,0.20408163265306123,120.0,1.2244897959183674,142.0,1.4489795918367347,0.0,0.0,84.0,0.8571428571428571
N920DE,366.0,2.231707317073171,0.0,0.0,229.0,1.396341463414634,115.0,0.7012195121951219,0.0,0.0,22.0,0.13414634146341464
N8538V,365.0,2.7238805970149254,0.0,0.0,104.0,0.7761194029850746,142.0,1.0597014925373134,0.0,0.0,119.0,0.8880597014925373
N400SY,364.0,2.3184713375796178,53.0,0.3375796178343949,156.0,0.9936305732484076,54.0,0.34394904458598724,0.0,0.0,101.0,0.643312101910828
N408AS,364.0,3.466666666666667,0.0,0.0,51.0,0.4857142857142857,186.0,1.7714285714285714,0.0,0.0,127.0,1.2095238095238094
N77296,364.0,4.986301369863014,0.0,0.0,10.0,0.136986301369863,127.0,1.7397260273972603,0.0,0.0,227.0,3.1095890410958904
N2333U,363.0,121.0,0.0,0.0,207.0,69.0,6.0,2.0,0.0,0.0,150.0,50.0
N8641B,363.0,2.708955223880597,0.0,0.0,196.0,1.462686567164179,40.0,0.29850746268656714,0.0,0.0,127.0,0.9477611940298507
N483HA,362.0,1.046242774566474,23.0,0.06647398843930635,136.0,0.3930635838150289,31.0,0.08959537572254335,0.0,0.0,172.0,0.49710982658959535
N119NN,362.0,4.582278481012659,103.0,1.3037974683544304,126.0,1.5949367088607596,102.0,1.2911392405063291,0.0,0.0,31.0,0.3924050632911392
N563WN,361.0,5.46969696969697,0.0,0.0,139.0,2.106060606060606,127.0,1.9242424242424243,0.0,0.0,95.0,1.4393939393939394
N838DN,361.0,3.8404255319148937,35.0,0.3723404255319149,91.0,0.9680851063829787,178.0,1.8936170212765957,0.0,0.0,57.0,0.6063829787234043
N534AS,360.0,4.556962025316456,0.0,0.0,93.0,1.1772151898734178,92.0,1.1645569620253164,0.0,0.0,175.0,2.2151898734177213
N378HA,360.0,12.0,0.0,0.0,258.0,8.6,0.0,0.0,102.0,3.4,0.0,0.0
N8693A,359.0,2.7829457364341086,0.0,0.0,139.0,1.0775193798449612,53.0,0.4108527131782946,0.0,0.0,167.0,1.2945736434108528
N14102,359.0,5.983333333333333,0.0,0.0,3.0,0.05,230.0,3.8333333333333335,0.0,0.0,126.0,2.1
N876DN,359.0,5.279411764705882,0.0,0.0,185.0,2.7205882352941178,104.0,1.5294117647058822,0.0,0.0,70.0,1.0294117647058822
N492HA,358.0,1.1737704918032787,11.0,0.036065573770491806,175.0,0.5737704918032787,4.0,0.013114754098360656,0.0,0.0,168.0,0.5508196721311476
N918NN,357.0,5.173913043478261,6.0,0.08695652173913043,74.0,1.0724637681159421,117.0,1.6956521739130435,0.0,0.0,160.0,2.318840579710145
N752AN,357.0,27.46153846153846,0.0,0.0,77.0,5.923076923076923,48.0,3.6923076923076925,0.0,0.0,232.0,17.846153846153847
